sample,event_id,gate,category,loss
638,773,39,2,2424371639.0
639,775,20,3,6613654285.0
640,776,14,1,1289941312.0
642,777,1,1,956465885.4
642,778,53,2,4224952563.0
644,779,14,1,1001588164.0
645,780,12,1,1092663236.0
646,781,14,3,8938953132.0
648,783,2,1,1016690197.0
649,784,8,2,2424371639.0
650,785,13,1,1289941312.0
651,787,37,1,1361850958.0
651,788,12,1,1036034427.0
653,789,12,1,944343522.9
653,790,14,3,5030803098.0
655,791,15,3,8938953132.0
657,792,37,1,1361850958.0
658,793,53,2,4224952563.0
659,794,52,1,713152959.5
662,798,51,3,6619919143.0
662,796,58,1,775055478.6
664,799,6,1,901765476.2
665,802,21,1,1624871268.0
666,803,40,4,14853619650.0
666,805,61,1,462562513.5
668,806,14,1,774212942.8
669,807,20,2,4661767010.0
670,808,48,1,664073416.8
672,809,6,1,901765476.2
673,810,1,1,706268281.6
673,811,12,1,962605472.5
674,813,12,1,435551951.3
676,815,45,1,1119276599.0
676,817,2,3,5749773962.0
678,819,46,1,524354473.6
680,821,49,3,6613654285.0
681,822,49,3,6613654285.0
681,823,49,1,686277373.8
683,824,11,2,2544197467.0
684,825,12,3,8126555557.0
685,826,12,1,664222112.6
691,828,32,1,821323293.5
691,829,21,1,1624871268.0
694,831,1,1,767141831.3
694,832,52,1,731039018.2
694,833,21,1,1624871268.0
695,834,14,3,8938953132.0
696,836,11,2,2544197467.0
697,837,9,1,524354473.6
698,838,14,1,724731942.0
699,839,9,1,524354473.6
703,842,49,3,6613654285.0
706,844,12,1,302609712.2
707,846,37,2,3450533798.0
707,845,20,3,6613654285.0
708,847,36,1,1361850958.0
708,848,12,1,602526951.9
709,849,14,1,1289941312.0
711,850,12,1,823792209.4
712,851,51,3,10694175283.0
714,854,12,1,764362565.7
714,853,11,2,2544197467.0
717,855,49,1,931561597.3
717,858,37,2,3450533798.0
717,856,12,1,775701599.0
718,862,37,2,3450533798.0
718,863,21,4,14948036345.0
718,860,46,1,524354473.6
718,861,48,3,8097986358.0
719,864,49,3,6613654285.0
722,865,9,1,524354473.6
723,867,12,1,968946694.6
723,866,27,1,1247943521.0
726,871,10,1,814163690.0
726,870,37,1,1361850958.0
726,868,1,1,1213490259.0
728,873,51,3,7378672485.0
730,874,32,1,821323293.5
732,875,12,1,1869341065.0
734,876,14,1,1231552708.0
737,877,21,1,947222683.7
738,878,11,2,2544197467.0
740,881,20,4,26234121822.0
741,882,63,2,2733219431.0
745,886,50,1,795430630.9
745,885,10,1,1119642147.0
746,887,20,3,6613654285.0
746,889,46,4,14948036345.0
747,890,39,2,2424371639.0
749,892,27,1,1247943521.0
749,891,12,1,835071594.8
750,893,2,1,1306042224.0
751,894,46,2,3450533798.0
753,897,12,1,761098577.4
754,898,21,1,1624871268.0
754,899,52,2,4224952563.0
754,900,12,3,8126555557.0
755,901,12,1,802546982.8
757,902,27,1,1247943521.0
758,904,1,1,815668160.0
758,903,25,1,785057726.5
760,907,20,2,4661767010.0
762,909,39,2,2424371639.0
766,912,46,2,3450533798.0
766,914,1,3,5749773962.0
766,913,2,1,1073164690.0
768,917,29,1,821323293.5
768,916,25,1,785057726.5
768,915,9,1,524354473.6
770,919,12,1,781088610.8
770,920,48,3,6613654285.0
772,921,10,1,663100629.8
772,923,48,3,6613654285.0
774,926,37,2,3450533798.0
775,929,12,1,1704337852.0
775,928,1,3,5749773962.0
776,931,53,2,4224952563.0
776,932,12,1,821402934.1
778,934,53,2,4224952563.0
779,936,2,1,1336127215.0
780,937,14,3,8938953132.0
781,939,21,1,1624871268.0
783,940,58,1,775055478.6
783,941,39,2,2424371639.0
784,942,12,1,1108103942.0
786,943,48,1,1037391828.0
787,945,50,3,7110401131.0
787,944,27,1,1247943521.0
788,946,62,2,2733219431.0
790,949,1,1,830601528.5
790,948,6,1,901765476.2
791,953,1,1,857808094.1
791,951,14,1,1090743440.0
792,954,52,1,618667668.6
792,955,50,1,795430630.9
792,957,12,1,502808890.3
796,959,9,1,524354473.6
797,960,21,4,14948036345.0
798,961,27,1,1247943521.0
799,962,49,1,536083967.2
799,963,62,1,462562513.5
799,965,22,1,947222683.7
800,966,40,4,14853619650.0
803,969,21,1,947222683.7
803,970,39,2,2424371639.0
806,974,48,3,8097986358.0
806,973,27,1,1247943521.0
806,972,46,1,524354473.6
808,975,10,1,1206232427.0
810,976,48,3,8097986358.0
811,977,9,3,5961674471.0
813,979,39,4,14853619650.0
814,981,12,3,8126555557.0
815,982,14,3,7188343121.0
817,984,37,2,3450533798.0
818,985,12,1,378797897.6
819,986,52,1,773323953.9
819,987,21,1,785057726.5
821,989,49,1,614972882.5
821,988,49,1,807157725.3
821,990,21,4,14948036345.0
822,991,9,3,5961674471.0
824,992,40,4,14853619650.0
826,993,27,1,1205057041.0
827,994,21,2,4661767010.0
829,995,49,1,447813769.7
830,996,46,1,524354473.6
835,999,21,1,1624871268.0
835,998,12,1,975348089.1
836,1000,46,1,524354473.6
837,1001,10,1,1061980965.0
840,1003,1,1,1035764341.0
841,1004,48,3,6613654285.0
843,1005,61,1,462562513.5
844,1009,14,1,738134925.7
844,1007,49,1,580923171.9
844,1008,12,1,549389146.6
844,1006,12,3,8126555557.0
847,1010,12,1,838259003.7
848,1011,37,1,1361850958.0
849,1012,13,3,5030803098.0
850,1013,14,1,1016015755.0
852,1014,26,1,1205057041.0
853,1016,6,1,901765476.2
854,1017,50,1,795430630.9
856,1020,14,3,5030803098.0
856,1021,53,2,4224952563.0
857,1022,27,1,1247943521.0
858,1023,8,2,2424371639.0
860,1027,29,1,821323293.5
860,1028,21,4,14948036345.0
860,1026,21,2,4661767010.0
861,1029,11,1,977228286.8
865,1030,14,3,5030803098.0
866,1031,46,2,3450533798.0
868,1033,26,1,785057726.5
870,1035,8,2,2424371639.0
